n_tokens,n_sents,avg_sent_len,avg_word_len,ttr,punct_ratio,excl_per_1k,quest_per_1k,quotes_per_1k,pos_ratio_noun,pos_ratio_verb,pos_ratio_adj,pos_ratio_adv,pos_ratio_propn,pos_ratio_pron,fk_grade,author,title,split
286,11,26.0,4.4937759336099585,0.6141078838174274,0.15034965034965034,0.0,6.993006993006993,31.46853146853147,0.12937062937062938,0.18181818181818182,0.04195804195804196,0.055944055944055944,0.03496503496503497,0.15034965034965034,10.446198347107437,Jane Austen,Pride and Prejudice,val
278,16,17.375,3.9668246445497632,0.6350710900473934,0.2158273381294964,7.194244604316546,0.0,64.74820143884892,0.08273381294964029,0.1906474820143885,0.0539568345323741,0.08273381294964029,0.0539568345323741,0.13309352517985612,5.971915249512129,Jane Austen,Emma,val
265,10,26.5,3.955357142857143,0.6026785714285714,0.12830188679245283,0.0,0.0,22.641509433962263,0.14339622641509434,0.18490566037735848,0.03018867924528302,0.06415094339622641,0.03018867924528302,0.1169811320754717,7.78663961038961,Mark Twain,Adventures of Huckleberry Finn,val
284,10,28.4,4.165322580645161,0.6088709677419355,0.12323943661971831,0.0,0.0,7.042253521126761,0.16901408450704225,0.1443661971830986,0.0528169014084507,0.035211267605633804,0.03169014084507042,0.09507042253521127,8.690826446280994,Mark Twain,A Connecticut Yankee in King Arthur's Court,val
292,10,29.2,4.191489361702128,0.6170212765957447,0.18835616438356165,3.4246575342465753,0.0,34.24657534246575,0.09246575342465753,0.21232876712328766,0.03424657534246575,0.030821917808219176,0.023972602739726026,0.17465753424657535,9.73485654008439,Jane Austen,Pride and Prejudice,val
292,11,26.545454545454547,3.625531914893617,0.4978723404255319,0.18493150684931506,0.0,10.273972602739725,58.21917808219178,0.08561643835616438,0.2054794520547945,0.03424657534246575,0.04452054794520548,0.017123287671232876,0.1952054794520548,7.078158508158509,Mark Twain,A Connecticut Yankee in King Arthur's Court,val
293,14,20.928571428571427,3.816901408450704,0.5586854460093896,0.2150170648464164,3.4129692832764507,3.4129692832764507,47.781569965870304,0.11262798634812286,0.18430034129692832,0.034129692832764506,0.05460750853242321,0.017064846416382253,0.11604095563139932,5.979342723004695,Mark Twain,The Adventures of Tom Sawyer,val
296,7,42.285714285714285,4.353174603174603,0.5912698412698413,0.11486486486486487,0.0,0.0,0.0,0.125,0.2195945945945946,0.057432432432432436,0.08108108108108109,0.06418918918918919,0.09797297297297297,8.557612562534743,Jane Austen,Emma,val
294,15,19.6,4.308333333333334,0.6708333333333333,0.16326530612244897,20.408163265306122,6.802721088435374,10.204081632653061,0.12585034013605442,0.1598639455782313,0.06462585034013606,0.05782312925170068,0.03741496598639456,0.11904761904761904,8.833636363636366,Jane Austen,Pride and Prejudice,val
283,10,28.3,4.41991341991342,0.6060606060606061,0.17314487632508835,10.60070671378092,0.0,21.20141342756184,0.13780918727915195,0.1519434628975265,0.07773851590106007,0.04240282685512368,0.03180212014134275,0.11307420494699646,10.735883116883116,Jane Austen,Emma,val
261,14,18.642857142857142,4.4375,0.65625,0.13409961685823754,11.494252873563218,3.8314176245210727,22.988505747126435,0.1532567049808429,0.13793103448275862,0.034482758620689655,0.038314176245210725,0.0842911877394636,0.09578544061302682,13.555361947469574,Mark Twain,The Adventures of Tom Sawyer,val
294,14,21.0,3.8495934959349594,0.573170731707317,0.16326530612244897,0.0,10.204081632653061,27.210884353741495,0.15306122448979592,0.1870748299319728,0.04081632653061224,0.04421768707482993,0.0,0.10204081632653061,6.204069353882634,Mark Twain,A Connecticut Yankee in King Arthur's Court,val
265,13,20.384615384615383,4.194444444444445,0.5740740740740741,0.1811320754716981,7.547169811320755,15.09433962264151,64.15094339622641,0.1320754716981132,0.19245283018867926,0.03018867924528302,0.04150943396226415,0.033962264150943396,0.12075471698113208,8.506208920187792,Jane Austen,Sense and Sensibility,val
297,20,14.85,3.9737991266375547,0.5589519650655022,0.21548821548821548,6.734006734006734,20.2020202020202,67.34006734006734,0.11784511784511785,0.14814814814814814,0.04713804713804714,0.050505050505050504,0.06060606060606061,0.13131313131313133,4.884912280701755,Jane Austen,Sense and Sensibility,val
241,13,18.53846153846154,4.262032085561497,0.6684491978609626,0.2033195020746888,12.448132780082988,12.448132780082988,16.597510373443985,0.13692946058091288,0.1825726141078838,0.024896265560165973,0.04979253112033195,0.058091286307053944,0.12448132780082988,7.974473684210526,Jane Austen,Pride and Prejudice,val
274,9,30.444444444444443,4.024793388429752,0.49173553719008267,0.11678832116788321,0.0,0.0,0.0,0.12043795620437957,0.16058394160583941,0.01824817518248175,0.043795620437956206,0.08759124087591241,0.12408759124087591,8.988402203856747,Mark Twain,A Connecticut Yankee in King Arthur's Court,val
296,10,29.6,4.2317073170731705,0.573170731707317,0.16554054054054054,3.3783783783783785,3.3783783783783785,43.91891891891892,0.08445945945945946,0.21283783783783783,0.04391891891891892,0.060810810810810814,0.030405405405405407,0.15878378378378377,10.68864609053498,Jane Austen,Pride and Prejudice,val
254,7,36.285714285714285,4.104072398190045,0.6018099547511312,0.12598425196850394,0.0,0.0,31.496062992125985,0.16929133858267717,0.16535433070866143,0.051181102362204724,0.03937007874015748,0.015748031496062992,0.0984251968503937,13.248387096774195,Mark Twain,A Connecticut Yankee in King Arthur's Court,val
291,12,24.25,4.535564853556485,0.6569037656903766,0.140893470790378,0.0,0.0,24.054982817869416,0.10996563573883161,0.2027491408934708,0.05154639175257732,0.054982817869415807,0.06529209621993128,0.10996563573883161,7.465944272445821,Jane Austen,Pride and Prejudice,val
300,11,27.272727272727273,4.310204081632653,0.6,0.14333333333333334,3.3333333333333335,0.0,30.0,0.07666666666666666,0.21,0.07333333333333333,0.07,0.08333333333333333,0.12333333333333334,7.7968750000000036,Jane Austen,Emma,val
293,10,29.3,4.372,0.6,0.13993174061433447,0.0,0.0,34.129692832764505,0.11604095563139932,0.19112627986348124,0.051194539249146756,0.06484641638225255,0.030716723549488054,0.1296928327645051,10.23659824046921,Jane Austen,Pride and Prejudice,val
271,6,45.166666666666664,3.9570815450643777,0.5622317596566524,0.12915129151291513,3.690036900369004,0.0,22.14022140221402,0.12177121771217712,0.18081180811808117,0.06273062730627306,0.04797047970479705,0.05166051660516605,0.11070110701107011,14.748620689655173,Mark Twain,A Connecticut Yankee in King Arthur's Court,val
250,9,27.77777777777778,4.265402843601896,0.6066350710900474,0.148,0.0,4.0,16.0,0.136,0.196,0.056,0.056,0.044,0.072,9.388197767145137,Mark Twain,The Adventures of Tom Sawyer,val
300,7,42.857142857142854,4.609848484848484,0.6136363636363636,0.10666666666666667,3.3333333333333335,0.0,0.0,0.13666666666666666,0.14333333333333334,0.08333333333333333,0.07666666666666666,0.056666666666666664,0.09,13.725388471177947,Jane Austen,Sense and Sensibility,val
288,8,36.0,3.8260869565217392,0.5173913043478261,0.19444444444444445,0.0,3.4722222222222223,27.77777777777778,0.10069444444444445,0.19791666666666666,0.0625,0.07291666666666667,0.024305555555555556,0.125,9.497878787878786,Jane Austen,Emma,val
286,9,31.77777777777778,3.6951219512195124,0.5487804878048781,0.11888111888111888,0.0,6.993006993006993,20.97902097902098,0.13986013986013987,0.1888111888111888,0.006993006993006993,0.07692307692307693,0.01048951048951049,0.12937062937062938,9.090340136054426,Mark Twain,Adventures of Huckleberry Finn,val
277,9,30.77777777777778,4.28755364806867,0.6523605150214592,0.1407942238267148,3.6101083032490973,7.2202166064981945,3.6101083032490973,0.11191335740072202,0.21660649819494585,0.06498194945848375,0.07581227436823104,0.06859205776173286,0.07220216606498195,8.171880341880343,Jane Austen,Emma,val
288,6,48.0,4.1506849315068495,0.5753424657534246,0.21180555555555555,10.416666666666666,6.944444444444445,38.19444444444444,0.1909722222222222,0.1388888888888889,0.03125,0.04513888888888889,0.034722222222222224,0.08680555555555555,12.23224867724868,Mark Twain,A Connecticut Yankee in King Arthur's Court,val
264,13,20.307692307692307,4.215962441314554,0.6150234741784038,0.17803030303030304,0.0,18.939393939393938,56.81818181818182,0.125,0.17045454545454544,0.07575757575757576,0.06439393939393939,0.045454545454545456,0.12121212121212122,6.797296296296295,Jane Austen,Pride and Prejudice,val
289,9,32.111111111111114,4.068965517241379,0.5905172413793104,0.1453287197231834,13.84083044982699,3.4602076124567476,27.68166089965398,0.09342560553633218,0.19377162629757785,0.03460207612456748,0.05536332179930796,0.07958477508650519,0.1453287197231834,6.202448979591839,Jane Austen,Emma,val
